Date,Cardano,Bitcoin Cash,Binance Coin,Bitcoin,Dogecoin,Ethereum,Chainlink,Litecoin,Decentraland,Tron,Tether,Xrp,Indice Marché,Size,Momentum,Volatilité,Liquidité,SP500,VIX,Euro Stoxx 50,CAC40,Or,Silver,Crude Oil,Treasury Yield
2018-01-04,0.03191740611658922,-0.06842898687660703,-0.03375565488676724,0.026195657872015055,0.03476391272988022,0.018906875229661724,0.44511994396962007,-0.016293897982996408,0.2831109724541667,1.1960656986673008,-0.010765347766490296,0.02938778794346142,0.16135203062248618,0.30207515307548244,-0.29707696986495497,-0.17887589025088188,-0.15573096800685704,0.004028636080503967,0.007650344417148736,0.016809692060664627,0.015457856194201813,0.002431297189563253,0.0002327442657727996,0.006165783657832158,0.024530000686645508
2018-01-05,-0.10282646452204369,0.06349326106234288,0.6189728604122167,0.11733292616101543,0.2616134787216351,0.017124678295504125,-0.07810290733459457,0.0327339815900749,-0.17251808964310578,0.06049309377391077,-0.003886166083480136,-0.04627369861865305,0.06401307948456855,-0.072121886245716,-0.07392251225415683,-0.06282537980391073,-0.07534027845902086,0.007033767443369587,0.0,0.010857748445560533,0.010539956889169089,0.0006821467313995466,0.0009308713972702165,-0.009192061123250883,0.024760000705718994
2018-01-06,0.027603223100168606,0.07822460355770766,0.5257420844559118,0.005593964256002781,0.2215829697256253,0.04406054233517298,0.17199603890657067,0.18928401079710944,0.1056322692639009,-0.20746750515752277,0.010370234551158264,0.01484560714031824,0.09895567024434365,-0.011493878124223561,-0.01661251241342232,-0.09177284133365637,-0.1534481566508572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024760000705718994
2018-01-07,-0.018137591527929597,8.252937283459438e-05,-0.18027402035919815,-0.05987336056512804,0.14970056128115594,0.10702901513492269,0.1945240864249118,-0.026995827244741033,0.26375321646540417,0.14221066784604952,-0.0073539506395422505,0.09173971806075198,0.054700420354124306,0.1316909040069564,-0.0366786766825295,-0.06690606411621303,-0.06447522977035251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024760000705718994
2018-01-08,-0.10859278028018415,-0.13111792666880417,-0.02122008240832529,-0.07935014996092593,-0.11955755636823429,-0.004023703765806075,0.08409553520181445,-0.11332250383571152,-0.0014397845715811153,-0.23872174895623577,0.007737885956996315,-0.27283953301210184,-0.08319602905575828,-0.006962603621400901,-0.08359716733559448,0.04130611839993649,-0.0654763881957568,0.0016623439316436617,0.03253798069916325,0.0024448373713157334,0.0030470999177443225,-0.0012876415809394137,-0.008195335559774364,0.004720067089996283,0.024800000190734865
2018-01-09,-0.09372507707645639,-0.012351964910260693,-0.046498260753035536,-0.03788368129071751,-0.10800933687233838,0.13165520890217386,-0.1081972505610791,-0.034117514684085415,0.07930323300787645,-0.1790279937074991,-0.0032992432787396497,-0.14429954074371887,-0.0463709518306567,-0.028058372247815357,0.01568628738023881,0.03347602804805501,0.03870921578344855,0.0013029315960912946,0.05882347048478298,0.0017752674867088647,0.006655225962508782,-0.005232841302758584,-0.007501075845726568,0.01992547466964978,0.02546000003814697
2018-01-10,-0.026538433091408464,0.21066576288073602,-0.0012060733516066069,0.025891678470515656,-0.02369598354987279,-0.033791407724088396,-0.03221576156355299,0.01409101782929345,-0.15697415276487847,0.038234693341999915,-0.0046820327305028275,-0.06035831870758612,-0.004214917580079303,0.02513169388473365,0.03456808327406067,0.024881087122663115,0.0734288642006585,-0.0011122268282528491,-0.025793673695410413,-0.003599366977202978,-0.0034865993890760283,0.004345561831495814,0.0015941496565849977,0.009688701067691152,0.025499999523162842
2018-01-11,-0.13202143455889748,-0.14946908278240956,0.20999029589194218,-0.10468634305373903,-0.1246374349462066,-0.08033786441778834,-0.15006184550517454,-0.08443308506032543,-0.1773327278395075,-0.15802800847235876,0.0004295573047661261,-0.012213199507690953,-0.08023343107894916,-0.1208538660440958,-0.019097887165782798,0.021123972896672255,0.003027626472037581,0.007033646478779465,0.006110022554106864,-0.004041765837965228,-0.0029303012307088094,0.0024289897620870526,-0.004067691258005657,0.0036180516492130277,0.025309998989105225
2018-01-12,0.3037367321587683,0.06431382797267449,0.060524535154750536,0.042876949757709726,0.13837298295661005,0.10240438118388306,0.04080853193682987,0.03265525658057977,0.0664421849932646,-0.0020352488683764713,0.0043625139876422026,0.04738062204909954,0.07515360582195298,-0.03678803312004517,0.078680034031035,-0.058470602519619275,-0.07297806818477987,0.006749602987881076,0.0283400536161873,0.004831420777105855,0.005194496710570151,0.00969260113945225,0.010358775525918018,0.007837050480822283,0.025520000457763672
2018-01-13,-0.014912450691294765,0.024532733458617617,-0.006358541176502808,0.02715195317395036,-0.0025275393217366604,0.09677984409284934,0.047234564752228314,0.09430620331201056,-0.03189445634581678,-0.0534916495633021,-0.004035494052984201,-0.010708608053649926,0.013839713298697412,-0.0016261411667278427,0.039147050808763774,0.009489427839962986,0.03969612321175683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025520000457763672
2018-01-14,-0.09259105574349435,-0.04914551828047553,-0.06300510624154676,-0.04096044534981502,-0.10281813930005279,-0.021232883717632767,-0.08208091396781503,-0.07916105239510596,-0.14154124214691333,-0.17715344804197286,0.014071531046202512,-0.07923415186038096,-0.07623770216658357,-0.05815803371094469,0.013860237673005663,0.0603820574206268,0.0537968713870965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025520000457763672
